"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_MYC_TARGETS_V1",1.16830331190759e-30,5.84151655953793e-29,1.43902565267782,-0.667200587728135,-2.61631868878884,199,"HNRNPA3,NAP1L1,EIF1AX,USP1,BUB3,SERBP1,RAN,NPM1,DEK,UBA2,SYNCRIP,CBX3,HNRNPU,XPOT,YWHAQ,RSL1D1,HNRNPA2B1,ACP1,ABCE1,XPO1,RPL14,HPRT1,PRPS2,TOMM70,EIF4E,G3BP1,UBE2E1,DDX18,PTGES3,PSMC6,RPL22,HSPD1,GNL3,SNRPA1,SRSF3,EEF1B2,NCBP2,SET,NOLC1,DDX21,IFRD1,SRSF2,HNRNPA1,CCT2,CLNS1A,SRSF1,TRA2B,C1QBP,VBP1,DHX15,MCM6,HNRNPD,SRSF7,GLO1,EIF4G2,RPL34,EIF2S1,RAD23B,SSB,HNRNPC,KPNA2,AP3S1,HNRNPR,RRM1,PSMD14,CNBP,EIF3J,GSPT1,APEX1,RPL6,PWP1,PRDX3,CANX,PPIA,MRPL9,ERH,HSPE1,YWHAE,NCBP1,RPS10,RFC4,IARS1,PCNA,RPLP0,RPS6,SSBP1,KARS1,ORC2,STARD7,PA2G4,PSMA6,SNRPG,TYMS,HDDC2,SMARCC1,PSMA4,SF3A1,VDAC3,NME1,POLE3,EPRS1,HDAC2,CCT4,SNRPD1,RPS2,TARDBP,PSMA1,FBL,PABPC4,PABPC1,SNRPB2,RPS5,CDK2,SLC25A3,TCP1,PGK1,MYC,PSMA2,H2AZ1,ETF1,EIF2S2,LDHA,RACK1,GOT2,NOP16,MAD2L1,MCM4,IMPDH2,CDK4,PHB2,ILF2,COX5A,RPS3,DUT,EIF3D,PRDX4,MCM5"
"HALLMARK_E2F_TARGETS",1.59719861748194e-12,3.99299654370486e-11,0.910119734774459,-0.536142967053175,-2.10239752536832,199,"ASF1A,NUDT21,ANP32E,NAP1L1,SMC4,USP1,PSIP1,DCK,LUC7L3,RAN,TFRC,IPO7,DEK,RAD21,SYNCRIP,XPO1,PNN,PDS5B,EED,NUP107,TMPO,CDKN1B,LBR,NOLC1,MTHFD2,CSE1L,SMC3,NUP153,SRSF2,RAD1,SRSF1,TRA2B,MCM6,PAICS,HNRNPD,MRE11,EIF2S1,KPNA2,RFC3,SMC1A,STMN1,TBRG4,RBBP7,MSH2,ILF3,GSPT1,RACGAP1,STAG1,PPM1D,RRM2,CDKN2C,PPP1R8,CNOT9,UBR7,AK2,PCNA,HMGB2,NASP,DNMT1,WEE1,ORC2,EXOSC8,CBX5,PA2G4,NME1,PRPS1,MLH1,TCF19,RPA3,NUP205,HELLS,SLBP,EZH2,SMC6,BARD1,RPA1,RAD51C,CCP110,CDC25B,HUS1,RFC1,CKS1B,NBN,TUBG1,MYC,RAD50,H2AZ1,TP53,MAD2L1,MCM4,ATAD2,GINS3,TUBB,CDK4,AURKA,TIPIN,DUT,CKS2,PRDX4,MCM5,ING3,POLD3,PAN2,PRIM2,HMGA1,UNG,DONSON"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",9.52894982513723e-11,1.58815830418954e-09,0.839088935621274,-0.515827460037892,-2.02273356575268,199,"ACADM,LRPPRC,PDP1,CYCS,ACAT1,COX11,DLAT,ISCA1,SUCLA2,TOMM70,NDUFA5,TIMM17A,ALDH6A1,LDHB,UQCRB,PDHX,COX7A2,ATP5F1C,SDHD,COX6C,MTRR,HSPA9,FXN,OPA1,COX7B,TIMM9,ATP5MG,AFG3L2,NDUFB5,RHOT1,GLUD1,MDH1,UQCR10,DLD,CASP7,MRPS30,PRDX3,ATP1B1,NDUFB4,UQCRC2,IDH3A,MRPL15,NDUFA6,PDHB,MPC1,COX17,PDK4,FDX1,HCCS,TOMM22,NDUFS4,MGST3,IDH1,ATP5PB,GRPEL1,VDAC3,COX7A2L,ETFA,PDHA1,ATP5PO,MRPS22,MRPL35,PHYH,NDUFB8,ACADSB,TIMM8B,COX4I1,ABCB7,MTRF1,COX10,NNT,BDH2,ATP5PF,SLC25A5,SLC25A3,UQCRH,UQCRFS1,ATP5MC2,ATP6V1G1,ATP5MC3,MRPS11,NDUFB6,LDHA,GOT2,UQCRQ,SLC25A6,MTX2,PHB2,CS,COX5A,SLC25A12,SUPV3L1,OXA1L,ATP5F1A,COX15,NDUFS1,NDUFA4,ATP5F1E,ATP6V1C1,NDUFA1,NDUFA8,NDUFB2,NDUFS3,ATP5ME,RETSAT,ATP6V0E1,ISCU,VDAC2,ATP5PD,CYB5A,SDHC,SDHA,NDUFC2,NDUFAB1,MRPL34,MRPL11,NDUFV2,HADHB,OAT,GPI,NDUFA3,TIMM13,ATP5F1D,IMMT,MDH2"
"HALLMARK_MTORC1_SIGNALING",9.84882669734874e-09,1.23110333716859e-07,0.747739663149885,-0.489499916138112,-1.91949438041346,199,"ADD3,SERP1,TFRC,CCNG1,PPA1,INSIG1,FGL2,RDH11,ACTR3,HPRT1,UBE2D3,PDK1,SKAP2,GSK3B,PSMC6,HSPD1,UFM1,GCLC,PSMD12,TMEM97,CACYBP,MTHFD2,TCEA1,HSPA9,IFRD1,MLLT11,RIT1,CCT6A,SSR1,SRD5A1,GMPS,PSAT1,HSP90B1,USO1,ELOVL5,PSMD14,SYTL2,ERO1A,GTF2H1,GLRX,PSMG1,RRM2,RAB1A,PSMC2,CANX,PPIA,EEF1E1,P4HA1,UCHL5,HSPE1,ACSL3,NUFIP1,SQLE,GGA2,CALR,EDEM1,DHFR,ACTR2,PSMA4,IDH1,HSPA4,SEC11A,CYB5B,ARPC5L,EPRS1,CYP51A1,NUP205,SLC1A4,NAMPT,XBP1,PSMA3,RPA1,GBE1,ATP2A2,TES,M6PR,ASNS,BHLHE40,ACLY,TUBG1,SC5D,PGK1,HMGCS1,IDI1,SORD,MTHFD2L,ETF1,EIF2S2,LDHA,PNO1,MCM4,AURKA,LTA4H,SLC7A5,TRIB3,HK2,CTSC,CXCR4,TBK1,HMGCR,UNG,PNP"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",4.99938003705188e-08,4.99938003705188e-07,0.719512826338911,-0.540904635177288,-2.02994254895507,112,"SERP1,SLC30A5,NPM1,EIF2AK3,XPOT,EIF4A2,DCP2,EIF4E,NABP1,DNAJB9,PAIP1,MTREX,SRPRB,NOLC1,MTHFD2,HSPA9,SSR1,CNOT2,PSAT1,KIF5B,YWHAZ,EIF2S1,HSP90B1,CNOT6,DKC1,ERO1A,BAG3,SDAD1,ATF6,IARS1,SPCS1,EXOC2,CALR,EDEM1,DCP1A,PDIA6,NFYB,GOSR2,SEC11A,DNAJC3,CEBPG,DNAJA4,SRPRA,DDX10,SEC31A,SLC1A4,ALDH18A1,XBP1,KHSRP,EXOSC2,IMP3,RPS14,LSM1,VEGFA,SPCS3,ASNS,CKS1B,NOP14,CNOT4"
"HALLMARK_G2M_CHECKPOINT",2.96400407719916e-07,2.47000339766597e-06,0.674962860011025,-0.460480169671765,-1.80653176709953,200,"SLC38A1,SMC4,CASP8AP2,PRPF4B,BUB3,RAD21,SRSF10,SYNCRIP,NUMA1,HNRNPU,PURA,CUL5,DR1,XPO1,SFPQ,ORC5,DBF4,G3BP1,PDS5B,TMPO,CDKN1B,LBR,ATRX,NOLC1,CUL3,SRSF2,SLC7A1,MTF2,AMD1,CDC27,SRSF1,TRA2B,CUL4A,MCM6,HNRNPD,KIF5B,RAD23B,SS18,TENT4A,KPNA2,SMC1A,H2AZ2,STMN1,DKC1,ILF3,GSPT1,RACGAP1,STAG1,MARCKS,ARID4A,CDKN2C,YTHDC1,HIF1A,SQLE,CBX1,FOXN3,NASP,RPS6KA5,SMC2,LIG3,FBXO5,HSPA8,SMARCC1,NCL,SAP30,HMGN2,NUP50,SLC12A2,MAP3K20,SNRPD1,EZH2,PAFAH1B1,BARD1,CDC25B,HUS1,CKS1B,CDC7,MYC,H2AZ1,MAD2L1,MEIS1,CDK4,NSD2,AURKA,CKS2,CCNT1"
"HALLMARK_PROTEIN_SECRETION",7.29596979768489e-07,5.21140699834635e-06,0.659444398037935,-0.546123723211234,-2.01255840917325,96,"ANP32E,ADAM10,RAB2A,LMAN1,BNIP3,RPS6KA3,TPD52,TMX1,ARFGEF2,STAM,RAB14,CLN5,RAB22A,TMED10,VPS4B,STX7,COPB1,SCAMP1,SNX2,TMED2,DNM1L,CLCN3,GOLGA4,ATP7A,LAMP2,USO1,GALC,AP3S1,NAPG,SGMS1,ARFIP1,RAB5A,VAMP7,SEC22B,VAMP4,MON2,SNAP23,ARFGEF1,SOD1,ARFGAP3,GOSR2,BET1,STX12,COG2,SEC31A,DOP1A,YIPF6,M6PR,SEC24D,GNAS,AP1G1,CLTC,CLTA,ATP1A1,CTSC,STX16,PPT1,SSPN,OCRL,RER1,PAM,ZW10,VAMP3"
"HALLMARK_ANDROGEN_RESPONSE",4.85664432311535e-06,2.69813573506408e-05,0.610526878385931,-0.51979077701346,-1.91819318575794,100,"INPP4B,STK39,SLC38A2,ELK4,UBE2J1,TNFAIP8,INSIG1,SLC26A2,ARID5B,LMAN1,RPS6KA3,CDK6,GNAI3,DNAJB9,APPBP2,TPD52,PIAS1,MAF,GPD1L,SGK1,ZBTB10,ANKH,ELOVL5,RAB4A,UAP1,SRP19,STEAP4,ITGAV,UBE2I,NCOA4,SAT1,VAPA,ELL2,ACSL3,NGLY1,TSC22D1,IQGAP2,PA2G4,SMS,MAP7,XRCC5,ZMIZ1,DBI,PDLIM5,SPCS3,SEC24D,HMGCS1,IDI1,CDC14B,SORD"
"HALLMARK_MYOGENESIS",4.79106950849366e-06,2.69813573506408e-05,0.610526878385931,0.304103621767676,1.71468190618903,199,"GPX3,PDLIM7,PVALB,NCAM1,COL6A2,PTGIS,CLU,SLC6A8,DAPK2,TSC2,TNNI2,PDE4DIP,PYGM,ADAM12,GNAO1,COL4A2,FLII,LDB3,AGRN,BAG1,ACTN2,TNNT3,ITGB5,MYF6,AEBP1,MYOM2,GSN,TPM3,ADCY9,GADD45B,SPDEF,COL3A1,DTNA,NOTCH1,PTP4A3,CHRNB1,CHRNA1,AK1,HDAC5,CAMK2B,IGF1,MYLK,MAPK12,PGAM2,SGCD,SORBS1,SMTN,MYH11,MAPRE3,WWTR1,MYO1C,MB,NQO1,NOS1,SYNGR2,GJA5,TGFB1,SIRT2,SLN,ATP2A1,COL15A1,MYL3,TAGLN,SORBS3,CKMT2,STC2,TCAP,CACNA1H,ACHE,ATP6AP1,ERBB3,DES,SCD,MYH9,MYL6B,CHRNG,SVIL,PPP1R3C,CTF1,MRAS,FST,ACSL1,CRYAB,PICK1,MYL1,SCHIP1,MYBPC3,REEP1,ITGA7,TPM2,MYL2"
"HALLMARK_KRAS_SIGNALING_DN",7.35800789388981e-05,0.000367900394694491,0.538434096309916,0.278846066596695,1.56187565984925,200,"PDK2,MX1,NR6A1,CAMK1D,MAST3,GP1BA,SHOX2,YPEL1,SOX10,EPHA5,CHST2,KMT2D,RSAD2,SPTBN2,SERPINB2,THRB,KCNN1,TFCP2L1,SNN,TFAP2B,SCN10A,IDUA,GP2,KCNQ2,MTHFR,PROP1,TCL1A,LFNG,PAX4,IFI44L,FGF16,NOS1,CD207,AKR1B10,PAX3,SLC38A3,PNMT,ZBTB16,BMPR1B,SLC6A3,MEFV,KLK8,MYO15A,SPRR3,FSHB,HNF1A,EDN2,CHRNG,MYOT,ADRA2C,TNNI3,P2RX6,CD80,LYPD3,TG,BRDT,FGGY,NGB,TEX15,MAGIX,ENTPD7,PRKN,CLDN8,SLC12A3,PKP1,CPEB3,KCND1,CACNA1F,STAG3,ARPP21,RGS11,COL2A1,TENM2,HSD11B2,SPHK2,INSL5,TGM1,ATP4A,DLK2,MSH5,ABCB11,ARHGDIG,NUDT11,CCR8,P2RY4,VPREB1,TGFB2,GDNF,GPRC5C,FGFR3,NR4A2,COPZ2,CALML5,BTG2,YBX2,SCGB1A1,SLC30A3,KRT5,SYNPO,LGALS7,HTR1D,IGFBP2,CPB1,TFF2,IRS4,KCNE2,KCNMB1,NRIP2,PRODH,ALOX12B,DCC,RIBC2,NPY4R,THNSL2"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",8.15845801856933e-05,0.00037083900084406,0.538434096309916,0.357177361221807,1.85407559081179,97,"OASL,SAMD9L,IFIT3,ISG15,MX1,IFI35,IFIT2,SP110,CD74,IFI27,TRIM25,OAS1,CSF1,ELF1,TRIM21,PARP9,ISG20,TRAFD1,RNF31,TAP1,RSAD2,HELZ2,TRIM14,CNP,PARP14,IRF7,IFITM2,WARS1,PLSCR1,ADAR,GMPR,BST2,IFITM1,IFI44L,OGFR"
"HALLMARK_COAGULATION",0.000307517238815213,0.00128132182839672,0.49849310876659,0.308281476203992,1.65805094167934,138,"MMP9,SERPING1,WDR1,SERPINA1,CLU,GP1BA,GP9,PECAM1,ITGB3,TIMP1,FGA,CAPN5,C3,PRSS23,GSN,SH2B2,PROC,SERPINB2,KLF7,BMP1,MASP2,CPQ,APOC1,F12,CASP9,MMP2,C8A,GNB2,MSRB2,TMPRSS6,ANXA1,PLG,CFB,CD9,APOC3,APOC2,SIRT2,RAC1,MMP11,KLK8,S100A1,A2M,HRG,THBD,TF,HNF4A,RAPGEF3,F3,FN1,CPB2,CPN1,PEF1,PLAU,MMP14,PLEK,MMP1,GDA,LRP1,PDGFB,C9,MEP1A"
"HALLMARK_MYC_TARGETS_V2",0.000500584945902614,0.00192532671501005,0.477270815362862,-0.516694704479787,-1.76408287382223,57,"TFB2M,NPM1,CBX3,DDX18,HSPD1,WDR43,GNL3,TMEM97,NOLC1,NIP7,TBRG4,NDUFAF4,HSPE1,PRMT3,PA2G4,MPHOSPH10,MYC,SORD,GRWD1,NOP16,MCM4,CDK4,SUPV3L1,MCM5,HK2,RCL1,LAS1L,UNG,AIMP2,RRP9,PUS1,IPO4,MYBBP1A,PPAN,PPRC1,UTP20,DCTPP1"
"HALLMARK_ALLOGRAFT_REJECTION",0.000771797834787416,0.00275642083852648,0.477270815362862,-0.393514369617213,-1.54381503557553,200,"TRAT1,ITK,EIF5A,LY75,CD28,MRPL3,UBE2N,NPM1,ETS1,RPS3A,CD47,ABCE1,CRTAM,GPR65,HDAC9,ST8SIA4,ABI1,NCK1,TPD52,DARS1,FAS,IL15,EIF3A,RPL9,CD96,RPL39,CD3E,GALNT1,MAP3K7,PTPRC,ACVR2A,LCK,STAT4,MTIF2,CCND2,BCL10,STAT1,CD2,EIF3J,CD3D,CCR2,UBE2D1,FYB1,TAP2,CD8B,HIF1A,KRT1,IKBKB,IRF8,CD40LG,CD3G,PRKCB,IGSF6,NME1,CD7,RPS19,SOCS5,LCP2,CD1D,HLA-DOA,DEGS1,GBP2,CTSS,HLA-DMB,IFNAR2,IFNGR1,IRF4,CD247,IL2RB"
"HALLMARK_HEME_METABOLISM",0.000968345470540243,0.00322781823513414,0.477270815362862,-0.390659304786352,-1.53261419424993,200,"BPGM,KLF3,TFRC,SLC11A2,NEK7,SLC30A1,RNF19A,NR3C1,CPOX,CROCCP2,ISCA1,BNIP3L,FBXO9,ALDH6A1,GCLC,DCUN1D1,CDR2,TCEA1,XK,AQP3,CA1,GYPB,CDC27,MINPP1,USP15,YPEL5,PICALM,BMP2K,SYNJ1,GMPS,CLCN3,KAT2B,ACSL6,LAMP2,MARK3,DAAM1,OPTN,MFHAS1,TRAK2,NCOA4,ANK1,ELL2,FBXO34,TENT5C,BACH1,MOSPD1,SNCA,UCP2,FECH,MGST3,FOXO3,MKRN1,VEZF1,RIOK3,CAT,SLC25A38,OSBP2,TMEM9B,NUDT4,CA2,CAST,TNS1,NNT,GCLM,ALAD,ASNS,ATG4A,UROS,HTATIP2,CTSE,ALAS2,SDCBP,TFDP2,DCAF10,GLRX5,GAPVD1,MARCHF8,RNF123,RCL1,CCDC28A,PPOX,GYPA,CLIC2,ERMAP,TRIM58,UROD,RANBP10,SLC4A1,BTRC"
"HALLMARK_DNA_REPAIR",0.0011792309308539,0.00353149531252567,0.45505986738723,-0.414672190202378,-1.60011133908569,150,"NUDT21,AK3,SMAD5,HPRT1,UPF3B,ERCC4,POLR2K,GTF2H3,POLR3GL,NCBP2,RALA,DCTN4,RRM2B,TMED2,ARL6IP1,SRSF6,RFC3,TAF13,POLR2D,ZWINT,GTF2H1,SNAPC5,RFC4,RNMT,PCNA,ELOA,COX17,PDE4B,TAF9,POLR1D,RFC5,NUDT9,TYMS,CSTF3,GTF2A2,NME1,NFX1,ERCC5,RPA3,PRIM1,CMPK2,REV3L,MRPL40,UMPS,DGCR8,NELFCD,POLH,ADA,FEN1,TP53,GTF2H5,IMPDH2,SF3A3,ERCC1,EIF1B,NME4,SDCBP,DUT,GSDME,NPR2,POLD3,POLR3C,POLR1C,POLA1,PNP,CLP1,RPA2,APRT,POLE4,POLB,ERCC8,GTF2B,POLR2E"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.00120070840625873,0.00353149531252567,0.45505986738723,0.249699912788103,1.39862190207722,200,"MYL9,SPP1,ANPEP,COL6A2,SLC6A8,PDLIM4,CD59,ADAM12,COL4A2,ITGB3,QSOX1,PLAUR,TIMP1,JUN,FLNA,DST,COL5A1,NOTCH2,FBLN1,ITGA5,LOXL2,ITGB5,PVR,OXTR,CALD1,THY1,GADD45B,BMP1,COL3A1,COL1A2,RGS4,CDH11,PLOD1,BGN,DAB2,TNC,PMP22,MYLK,FMOD,COPA,MMP2,SGCD,LAMC2,NTM,ABI3BP,SLIT3,MSX1,NNMT,MFAP5,CDH2,CAPG,MGP,TGFB1,IGFBP4,TAGLN,POSTN,APLP1,FOXC2,LGALS1,LAMA3,LAMC1,RHOB,COLGALT1,LOX,SDC4,CADM1,ELN,PMEPA1,COL12A1,FN1,BASP1,ECM2,MMP14,MMP1,BDNF,ECM1,LRP1,PRRX1,PLOD2,TPM2,PTHLH,COL1A1,CDH6,SPOCK1,COL16A1,TPM4,FSTL3,SPARC,FSTL1,THBS2,SFRP1,FZD8,PDGFRB,FERMT2,TNFRSF12A,SFRP4,EFEMP2,SGCG,TFPI2"
"HALLMARK_ADIPOGENESIS",0.00205962518530299,0.00572118107028609,0.431707695803346,-0.378783042325209,-1.48602186123859,200,"CMPK1,CD36,ACADM,HADH,EPHX2,TANK,G3BP2,DLAT,DRAM2,CD302,PPM1B,UBQLN1,REEP5,CAVIN2,NABP1,HIBCH,DNAJB9,NDUFA5,GHITM,CCNG2,SCP2,RNF11,ATL2,DNAJC15,PDCD4,COX7B,PPP1R15B,SLC66A3,TOB1,CHUK,UQCR10,DLD,MCCC1,CDKN2C,PRDX3,MAP4K3,IDH3A,PTCD3,MRPL15,AK2,MTCH2,YWHAG,DBT,SOD1,UCP2,MGST3,IDH1,GRPEL1,COQ3,PLIN2,BCL2L13,ATP5PO,RIOK3,CAT,PHYH,GPD2,GBE1,COQ5,IFNGR1,ACLY,CPT2,GPAM"
